GLOBAL UNIQUE IDENTIFIER,LAST EDITED DATE,TAXONOMIC ORDER,CATEGORY,TAXON CONCEPT ID,COMMON NAME,SCIENTIFIC NAME,SUBSPECIES COMMON NAME,SUBSPECIES SCIENTIFIC NAME,EXOTIC CODE,OBSERVATION COUNT,BREEDING CODE,BREEDING CATEGORY,BEHAVIOR CODE,AGE/SEX,COUNTRY,COUNTRY CODE,STATE,STATE CODE,COUNTY,COUNTY CODE,IBA CODE,BCR CODE,USFWS CODE,ATLAS BLOCK,LOCALITY,LOCALITY ID,LOCALITY TYPE,LATITUDE,LONGITUDE,OBSERVATION DATE,TIME OBSERVATIONS STARTED,OBSERVER ID,OBSERVER ORCID ID,SAMPLING EVENT IDENTIFIER,OBSERVATION TYPE,PROTOCOL NAME,PROTOCOL CODE,PROJECT NAMES,PROJECT IDENTIFIERS,DURATION MINUTES,EFFORT DISTANCE KM,EFFORT AREA HA,NUMBER OBSERVERS,ALL SPECIES REPORTED,GROUP IDENTIFIER,HAS MEDIA,APPROVED,REVIEWED,REASON,CHECKLIST COMMENTS,SPECIES COMMENTS,Unnamed: 52,RECORD TYPE,BIO1_AnnualMeanTemperature,BIO2_MeanDiurnalRange,BIO3_Isothermality,BIO4_TemperatureSeasonality,BIO5_MaxTemperatureOfWarmestMonth,BIO6_MinTemperatureOfColdestMonth,BIO7_TemperatureAnnualRange,BIO8_MeanTemperatureOfWettestQuarter,BIO9_MeanTemperatureOfDriestQuarter,BIO10_MeanTemperatureOfWarmestQuarter,BIO11_MeanTemperatureOfColdestQuarter,BIO12_AnnualPrecipitation,BIO13_PrecipiationOfWettestMonth,BIO14_PrecipiationOfDriestMonth,BIO15_PrecipitationSeasonality,BIO16_PrecipiationOfWettestQuarter,BIO17_PrecipiationOfDriestQuarter,BIO18_PrecipiationOfWarmestQuarter,BIO19_PrecipiationOfColdestQuarter,ELEVATION,SLOPE,ASPECT,RUGGEDNESS,LAND_COVER_CODE,LAND_COVER_CLASS,distance_to_road_meters,distance_to_railroad_meters,distance_to_urban_area_meters,distance_to_river_meters,distance_to_lake_meters
URN:CornellLabOfOrnithology:EBIRD:OBS1856077315,2024-06-13 09:28:40.433245,13250,species,avibase-1F56AB5C,Bar-bellied Pitta,Hydrornis elliotii,,,,1,,,,,Thailand,TH,Ubon Ratchathani,TH-34,,,BIRDLIFE_23515,,,,Phu Chong – Na Yoi NP (general area),L4431922,H,14.4415778,105.3446232,2021-02-06,06:17:00,obsr615049,,S80497933,Traveling,Traveling,P22,,,624.0,21.82,,1.0,1,G6251073,0,1,1,,,Heard calling twice 30 seconds apart. Confirmed by later recordings in a similar area. Other information was published in BirdingAsia 39; pages 26 - 29.,,presence,25.185333,9.005333,55.49257,172.695,32.904,16.676,16.227999,25.518,23.073334,27.269333,22.855333,1931.0,398.0,1.0,97.098526,1128.0,11.0,335.0,36.0,333,64.327286,168.3407,5.0,50,Evergreen broadleaf forest,17662.01853089574,102068.92333457017,99766.15600254491,56556.64463988472,206617.4294030433
URN:CornellLabOfOrnithology:EBIRD:OBS1861382792,2024-06-13 09:28:40.433245,13250,species,avibase-1F56AB5C,Bar-bellied Pitta,Hydrornis elliotii,,,,1,,,,,Thailand,TH,Ubon Ratchathani,TH-34,,,BIRDLIFE_23515,,,,Phu Chong – Na Yoi NP (general area),L4431922,H,14.4415778,105.3446232,2021-02-06,06:17:00,obsr972347,,S80497171,Traveling,Traveling,P22,,,624.0,21.82,,3.0,1,G6251073,0,1,1,,,Heard and recording taken,,presence,25.185333,9.005333,55.49257,172.695,32.904,16.676,16.227999,25.518,23.073334,27.269333,22.855333,1931.0,398.0,1.0,97.098526,1128.0,11.0,335.0,36.0,333,64.327286,168.3407,5.0,50,Evergreen broadleaf forest,17662.01853089574,102068.92333457017,99766.15600254491,56556.64463988472,206617.4294030433
URN:CornellLabOfOrnithology:EBIRD:OBS1854824044,2024-06-13 09:28:40.433245,13250,species,avibase-1F56AB5C,Bar-bellied Pitta,Hydrornis elliotii,,,,1,,,,,Thailand,TH,Ubon Ratchathani,TH-34,,,BIRDLIFE_23515,,,,Phu Chong – Na Yoi NP (general area),L4431922,H,14.4415778,105.3446232,2021-02-06,06:17:00,obsr563210,,S80642019,Traveling,Traveling,P22,,,624.0,21.82,,1.0,1,G6251073,0,1,1,,,Heard calling twice 30 seconds apart. Confirmed by later recordings in a similar area.,,presence,25.185333,9.005333,55.49257,172.695,32.904,16.676,16.227999,25.518,23.073334,27.269333,22.855333,1931.0,398.0,1.0,97.098526,1128.0,11.0,335.0,36.0,333,64.327286,168.3407,5.0,50,Evergreen broadleaf forest,17662.01853089574,102068.92333457017,99766.15600254491,56556.64463988472,206617.4294030433
URN:CornellLabOfOrnithology:EBIRD:OBS1855436014,2024-04-24 05:56:46.894793,13250,species,avibase-1F56AB5C,Bar-bellied Pitta,Hydrornis elliotii,,,,2,,,,,Thailand,TH,Ubon Ratchathani,TH-34,,,BIRDLIFE_23515,,,,Phu Chong – Na Yoi NP (general area),L4431922,H,14.4415778,105.3446232,2021-06-22,13:56:00,obsr563210,,S90919871,Traveling,Traveling,P22,,,180.0,7.73,,1.0,0,,1,1,1,,,"2 birds heard, Territorial and Alarm calls recorded. 1 bird possibly seen but not 100% sure.",,presence,25.185333,9.005333,55.49257,172.695,32.904,16.676,16.227999,25.518,23.073334,27.269333,22.855333,1931.0,398.0,1.0,97.098526,1128.0,11.0,335.0,36.0,333,64.327286,168.3407,5.0,50,Evergreen broadleaf forest,17662.01853089574,102068.92333457017,99766.15600254491,56556.64463988472,206617.4294030433
URN:CornellLabOfOrnithology:EBIRD:OBS1855437057,2024-04-24 05:57:54.511657,13250,species,avibase-1F56AB5C,Bar-bellied Pitta,Hydrornis elliotii,,,,1,,,,,Thailand,TH,Ubon Ratchathani,TH-34,,,BIRDLIFE_23515,,,,Phu Chong – Na Yoi NP (general area),L4431922,H,14.4415778,105.3446232,2021-07-01,06:00:00,obsr563210,,S91210245,Traveling,Traveling,P22,,,360.0,14.0,,3.0,1,G6959085,1,1,1,,,"Heard, along with Mark Hogarth, Andrew Pearce and Phil Round.",,presence,25.185333,9.005333,55.49257,172.695,32.904,16.676,16.227999,25.518,23.073334,27.269333,22.855333,1931.0,398.0,1.0,97.098526,1128.0,11.0,335.0,36.0,333,64.327286,168.3407,5.0,50,Evergreen broadleaf forest,17662.01853089574,102068.92333457017,99766.15600254491,56556.64463988472,206617.4294030433
URN:CornellLabOfOrnithology:EBIRD:OBS1861386793,2024-04-25 03:41:06.285458,13250,species,avibase-1F56AB5C,Bar-bellied Pitta,Hydrornis elliotii,,,,1,,,,,Thailand,TH,Ubon Ratchathani,TH-34,,,BIRDLIFE_23515,,,,Phu Chong – Na Yoi NP (general area),L4431922,H,14.4415778,105.3446232,2021-07-02,06:00:00,obsr972347,,S91271436,Traveling,Traveling,P22,,,300.0,8.0,,4.0,1,G6959183,0,1,1,,,Heard,,presence,25.185333,9.005333,55.49257,172.695,32.904,16.676,16.227999,25.518,23.073334,27.269333,22.855333,1931.0,398.0,1.0,97.098526,1128.0,11.0,335.0,36.0,333,64.327286,168.3407,5.0,50,Evergreen broadleaf forest,17662.01853089574,102068.92333457017,99766.15600254491,56556.64463988472,206617.4294030433
URN:CornellLabOfOrnithology:EBIRD:OBS1861387136,2023-11-27 17:42:40.010164,13250,species,avibase-1F56AB5C,Bar-bellied Pitta,Hydrornis elliotii,,,,1,,,,,Thailand,TH,Ubon Ratchathani,TH-34,,,BIRDLIFE_23515,,,,Phu Chong – Na Yoi NP (general area),L4431922,H,14.4415778,105.3446232,2021-07-01,06:07:00,obsr972347,,S91208238,Traveling,Traveling,P22,,,103.0,3.12,,3.0,1,G6958431,0,1,1,,,Heard,,presence,25.185333,9.005333,55.49257,172.695,32.904,16.676,16.227999,25.518,23.073334,27.269333,22.855333,1931.0,398.0,1.0,97.098526,1128.0,11.0,335.0,36.0,333,64.327286,168.3407,5.0,50,Evergreen broadleaf forest,17662.01853089574,102068.92333457017,99766.15600254491,56556.64463988472,206617.4294030433
URN:CornellLabOfOrnithology:EBIRD:OBS1862218629,2024-04-25 03:41:06.285458,13250,species,avibase-1F56AB5C,Bar-bellied Pitta,Hydrornis elliotii,,,,1,,,,,Thailand,TH,Ubon Ratchathani,TH-34,,,BIRDLIFE_23515,,,,Phu Chong – Na Yoi NP (general area),L4431922,H,14.4415778,105.3446232,2021-07-01,06:00:00,obsr972347,,S91215908,Traveling,Traveling,P22,,,360.0,14.0,,4.0,1,G6959085,1,1,1,,,Heard recording made,,presence,25.185333,9.005333,55.49257,172.695,32.904,16.676,16.227999,25.518,23.073334,27.269333,22.855333,1931.0,398.0,1.0,97.098526,1128.0,11.0,335.0,36.0,333,64.327286,168.3407,5.0,50,Evergreen broadleaf forest,17662.01853089574,102068.92333457017,99766.15600254491,56556.64463988472,206617.4294030433
URN:CornellLabOfOrnithology:EBIRD:OBS1872307357,2024-04-24 06:06:40.873395,13250,species,avibase-1F56AB5C,Bar-bellied Pitta,Hydrornis elliotii,,,,1,,,,,Thailand,TH,Ubon Ratchathani,TH-34,,,BIRDLIFE_23515,,,,Phu Chong – Na Yoi NP (general area),L4431922,H,14.4415778,105.3446232,2021-07-01,05:59:00,obsr639141,,S91187485,Traveling,Traveling,P22,,,433.0,8.54,,4.0,0,,0,1,1,,,See article in BirdingAsia 2023 detailing recent  observations of this species.,,presence,25.185333,9.005333,55.49257,172.695,32.904,16.676,16.227999,25.518,23.073334,27.269333,22.855333,1931.0,398.0,1.0,97.098526,1128.0,11.0,335.0,36.0,333,64.327286,168.3407,5.0,50,Evergreen broadleaf forest,17662.01853089574,102068.92333457017,99766.15600254491,56556.64463988472,206617.4294030433
URN:CornellLabOfOrnithology:EBIRD:OBS1855427412,2023-11-27 17:42:40.010164,13250,species,avibase-1F56AB5C,Bar-bellied Pitta,Hydrornis elliotii,,,,1,,,,,Thailand,TH,Ubon Ratchathani,TH-34,,,BIRDLIFE_23515,,,,Phu Chong – Na Yoi NP (general area),L4431922,H,14.4415778,105.3446232,2021-07-01,06:07:00,obsr563210,,S91159449,Traveling,Traveling,P22,,,103.0,3.12,,3.0,0,G6958431,0,1,1,,,"Heard, along with Mark Hogarth, Andrew Pearce and Phil Round.",,presence,25.185333,9.005333,55.49257,172.695,32.904,16.676,16.227999,25.518,23.073334,27.269333,22.855333,1931.0,398.0,1.0,97.098526,1128.0,11.0,335.0,36.0,333,64.327286,168.3407,5.0,50,Evergreen broadleaf forest,17662.01853089574,102068.92333457017,99766.15600254491,56556.64463988472,206617.4294030433
